placeID,latitude,longitude
227,,37.21196111
228,,37.11944206
229,,37.26820009
230,,37.26913331
231,,37.1790307
232,,37.26091947
233,,
234,37.26820009,127.1089114
235,37.14132675,127.3642626
236,37.33658915,127.1778595
237,37.31979601,127.1314427
238,37.26913331,127.1103615
239,37.33177038,127.1927917
240,37.25793675,127.3025817
241,37.32054364,127.0954126
242,37.2594293,127.1143473
243,37.24017172,127.1763198
244,37.23174897,127.1988572
245,37.30037208,127.2169533
246,37.26820009,127.1089114
247,37.26091947,127.120813
248,37.22205576,127.190656
249,37.27731264,127.0900943
250,37.30897189,127.1319469
251,37.35644844,127.0440906
252,37.09457472,127.4066007
253,37.24962344,127.1651613
254,37.29321665,127.1923281
255,37.09457472,127.4066007
256,37.26091947,127.120813
257,,
258,37.31577253,127.2688892
259,37.25344341,127.1612992
260,37.16980923,127.2991391
261,,
262,37.14617833,127.3659655
263,37.23350202,127.2986095
264,37.25764149,127.1604459
265,37.27120944,127.2652921
266,37.14737668,127.2858207
267,37.33641035,127.1784021
268,37.27392025,127.1571468
269,37.17101369,127.2971197
270,37.27731264,127.0900943
271,37.30037208,127.2169533
272,37.15364577,127.3966516
273,37.1932958,127.2966319
274,37.26091947,127.120813
275,37.26091947,127.120813
276,37.26091947,127.120813
277,37.11944206,127.3370944
278,37.11944206,127.3370944
279,37.3444106,127.0523825
280,37.21590534,127.2777713
281,37.35440551,127.052007
282,37.35618157,127.0520981
283,37.19478132,127.2766431
284,37.19478132,127.2766431
285,37.19478132,127.2766431
286,37.25344341,127.1612992
287,37.28996008,127.2165862
288,37.17101369,127.2971197
289,37.26091947,127.120813
290,37.1940384,127.2784439
291,37.16980923,127.2991391
292,37.17011074,127.2450031
293,37.19478132,127.2766431
294,37.19478132,127.2766431
295,37.26091947,127.120813
296,37.26091947,127.120813
297,37.11944206,127.3370944
298,37.11944206,127.3370944
299,37.11944206,127.3370944
300,37.26378052,127.1669708
301,37.10778526,127.198347
302,37.28996008,127.2165862
303,37.2273552,127.1000706
304,37.28424302,127.2194392
305,37.16333129,127.2488441
306,37.10740614,127.1429863
307,37.19444738,127.2165717
308,37.20716099,127.1693272
309,37.11893896,127.30811
310,37.16501514,127.2437925
311,37.3154498,127.265211
312,37.16229537,127.2534766
313,37.12443875,127.3144677
314,37.14912759,127.2870207
315,37.181812,127.2915593
316,37.20769531,127.3098802
317,37.21207947,127.1586666
318,37.3154498,127.265211
319,37.11720571,127.3116147
320,37.24103718,127.1359981
321,37.31481976,127.2611727
322,37.22101641,127.1387432
323,37.31577253,127.2688892
324,37.26072762,127.2527276
325,37.11441968,127.2091488
326,37.35136177,127.0527816
327,37.13517796,127.3286165
328,37.15619281,127.33054
329,37.25613177,127.2760294
330,37.12937245,127.2435074
331,37.25887312,127.2582482
332,37.28446342,127.2086549
333,37.11773924,127.3132346
334,37.18302131,127.3084212
335,37.29619186,127.0938845
336,37.31577253,127.2688892
337,37.15959852,127.2952355
338,37.28089421,127.199203
339,37.21442579,127.313639
340,37.2612688,127.2803443
341,37.3303747,127.1282961
342,37.1389824,127.3087319
343,37.3275387,127.0968234
344,37.2363835,127.2039826
345,37.2226356,127.1034084
346,37.3274798,127.1736259
347,37.3229821,127.0453369
348,37.46812521,126.8576482
349,37.4246681,126.8634442
350,37.45933257,126.8698217
351,37.42391373,126.8737081
352,37.43955185,126.8629013
353,37.42799614,126.8664591
354,,
355,,
356,,37.4246681
357,37.42851741,126.880501
358,37.46743585,126.8732254
359,37.47668303,126.8497369
360,37.47891692,126.8643754
361,37.43333759,126.8783815
362,37.42728684,126.8527074
363,37.4246681,126.8634442
364,37.4246681,126.8634442
365,37.4246681,126.8634442
366,37.43626892,126.8873776
367,37.44188021,126.8728281
368,37.44910346,126.856295
369,37.4246681,126.8634442
370,37.4246681,126.8634442
371,37.42851741,126.880501
372,37.41239657,126.8610394
373,37.45933257,126.8698217
374,37.4246681,126.8634442
375,37.44188021,126.8728281
376,37.45959871,126.860638
377,37.46682498,126.8453442
378,37.48680176,126.8656773
379,37.46252151,126.8711632
380,,
381,36.92144571,126.9222276
382,,
383,37.09814524,127.0864815
384,,
385,36.92144571,126.9222276
386,37.01427206,126.9808811
387,36.96904078,127.0658693
388,,36.91482854
389,,37.01680495
390,36.92113256,126.9208602
391,36.970034,126.8475563
392,36.99112127,127.1140768
393,36.99112127,127.1140768
394,36.98908521,126.9194914
395,37.06722319,127.0654116
396,36.92144571,126.9222276
397,37.06605262,127.0707164
398,37.10584874,127.1012055
399,36.97104842,126.8735556
400,37.01427206,126.9808811
401,37.06873949,127.0081905
402,37.01332365,127.0201596
403,37.0023403,126.8216664
404,36.95047852,126.9659687
405,,
406,36.96562669,127.0665178
407,37.01576206,127.044178
408,36.95047852,126.9659687
409,37.10828234,127.1011365
410,37.01176782,127.0205338
411,37.02477063,127.1484887
412,37.01633234,127.0591255
413,37.09814524,127.0864815
414,37.06340875,127.1063208
415,37.07178322,127.0750377
416,37.0067405,127.0961688
417,36.9956859,127.0942568
418,36.9886034,127.1053125
419,37.425973,127.0235491
420,37.43304795,127.0132542
421,,
422,37.43035373,126.9902278
423,,
424,,
425,37.42792691,127.0036578
426,37.44142546,126.9963338
427,37.43234075,126.9965868
428,,
429,37.4187457,126.9897163
430,37.44208435,127.01817
431,,37.43097781
432,,37.43650176
433,,
434,,37.4385349
435,37.4283427,127.0017902
436,37.4298116,126.9869625
437,37.45762647,127.0299991
438,37.44208435,127.01817
439,37.45263682,127.0287188
440,37.43097781,127.0199705
441,37.4239602,126.9992198
442,37.42820745,126.9891096
443,37.45176764,126.9992832
444,37.4350561,127.0056567
445,37.42785388,127.0012961
446,37.4385349,127.0055434
447,37.4350561,127.0056567
448,37.44138113,126.9657101
449,37.43644317,127.0141028
450,37.43650176,127.0240724
451,37.43644317,127.0141028
452,37.4276869,126.992002
453,37.4409409,127.0103285
454,37.1661425,127.0596379
455,,
456,,
457,37.16624795,127.0543478
458,37.13825273,127.0644454
459,37.16275009,127.0683606
460,,37.16624795
461,,
462,,
463,,
464,,
465,,
466,37.13825273,127.0644454
467,37.17377415,127.0064404
468,37.16624795,127.0543478
469,37.18361826,127.0197829
470,,
471,,
472,37.18361826,127.0197829
473,37.13658643,127.0631948
474,37.13825273,127.0644454
475,37.1773631,127.0241756
476,37.1785525,127.0243899
477,37.1820546,127.036812
478,37.1865283,127.0120041
479,37.4190229,126.8262142
480,37.41185061,126.7600281
481,37.45310398,126.8272721
482,37.44962927,126.7828588
483,,
484,,
485,37.40068901,126.8083869
486,37.38979193,126.7812507
487,37.35180705,126.7009731
488,,
489,37.3718045,126.7447471
490,37.40318746,126.8485463
491,37.37230323,126.7705866
492,37.44962927,126.7828588
493,,
494,37.34304025,126.6961663
495,37.35465347,126.7020269
496,,37.40068901
497,,37.38979193
498,,
499,37.45195756,126.7855179
500,37.39044629,126.8047644
501,37.35465347,126.7020269
502,37.43372887,126.7864711
503,37.34863265,126.7588817
504,37.38092342,126.8273752
505,37.3858316,126.8400679
506,37.3472526,126.7329697
507,37.3511667,126.7229447
508,37.354098,126.91912
509,37.37344888,126.9261792
510,,
511,,
512,37.36236952,126.9352273
513,37.35544599,126.9252043
514,,37.36236952
515,37.36578447,126.9274659
516,37.36253179,126.9176791
517,37.35901198,126.9194209
518,37.3472282,126.9548279
519,37.36956522,126.9376918
